Pattern ID,Center Date,Center Type,Pair A (L Date),Pair A (R Date),Pair A (Avg Dist),Pair B (L Date),Pair B (R Date),Pair B (Avg Dist),Pair C (L Date),Pair C (R Date),Pair C (Avg Dist),Pair D (L Date),Pair D (R Date),Pair D (Avg Dist)
#1,BC 3997-10-06,일식,BC 4000-06-13,BC 3993-01-30,1211.0,BC 3999-06-02,BC 3994-02-09,856.5,BC 3999-11-12,BC 3995-08-30,693.5,BC 3998-05-07,BC 3995-03-07,517.5
#2,BC 3989-11-05,일식,BC 3992-07-13,BC 3985-02-29,1211.0,BC 3991-07-03,BC 3986-03-12,856.5,BC 3991-12-13,BC 3987-09-30,693.5,BC 3990-06-07,BC 3987-04-07,517.5
#3,BC 3971-11-17,일식,BC 3974-07-25,BC 3967-03-12,1211.0,BC 3973-07-13,BC 3968-03-22,856.5,BC 3973-12-23,BC 3969-10-10,693.5,BC 3972-06-18,BC 3969-04-17,517.0
#4,BC 3953-11-27,일식,BC 3956-08-04,BC 3949-03-22,1211.0,BC 3955-07-25,BC 3950-04-02,856.0,BC 3954-01-04,BC 3951-10-22,693.5,BC 3954-06-29,BC 3951-04-28,517.0
#5,BC 3917-12-19,일식,BC 3920-08-26,BC 3913-04-13,1211.0,BC 3919-08-15,BC 3914-04-24,856.5,BC 3918-01-25,BC 3915-11-13,694.0,BC 3918-07-21,BC 3915-05-20,517.0
#6,BC 3899-12-30,일식,BC 3902-09-06,BC 3895-04-24,1210.5,BC 3901-08-26,BC 3896-05-04,856.0,BC 3900-02-05,BC 3897-11-23,693.5,BC 3900-07-31,BC 3897-05-30,517.0
#7,BC 3848-10-08,일식,BC 3851-06-15,BC 3844-01-31,1211.0,BC 3850-06-05,BC 3845-02-12,856.5,BC 3850-11-15,BC 3846-09-02,693.5,BC 3849-05-09,BC 3846-03-10,517.5
#8,BC 3830-10-20,일식,BC 3833-06-26,BC 3826-02-12,1211.0,BC 3832-06-15,BC 3827-02-22,856.5,BC 3832-11-25,BC 3828-09-12,693.5,BC 3831-05-21,BC 3828-03-20,517.0
#9,BC 3812-10-30,일식,BC 3815-07-07,BC 3808-02-22,1211.0,BC 3814-06-27,BC 3809-03-04,856.0,BC 3814-12-06,BC 3810-09-24,694.0,BC 3813-05-31,BC 3810-03-31,517.0
#10,BC 3794-11-10,일식,BC 3797-07-17,BC 3790-03-05,1211.0,BC 3796-07-07,BC 3791-03-16,856.5,BC 3796-12-17,BC 3792-10-04,693.5,BC 3795-06-11,BC 3792-04-11,517.5
#11,BC 3776-11-21,일식,BC 3779-07-29,BC 3772-03-16,1211.0,BC 3778-07-18,BC 3773-03-26,856.5,BC 3778-12-28,BC 3774-10-15,693.5,BC 3777-06-21,BC 3774-04-22,517.5
#12,BC 3758-12-02,일식,BC 3761-08-08,BC 3754-03-27,1211.0,BC 3760-07-29,BC 3755-04-06,856.0,BC 3759-01-08,BC 3756-10-26,693.5,BC 3759-07-03,BC 3756-05-02,517.0
#13,BC 3740-12-12,일식,BC 3743-08-19,BC 3736-04-06,1211.0,BC 3742-08-09,BC 3737-04-17,856.5,BC 3741-01-19,BC 3738-11-06,693.5,BC 3741-07-13,BC 3738-05-14,517.5
#14,BC 3722-12-24,일식,BC 3725-08-30,BC 3718-04-18,1211.0,BC 3724-08-19,BC 3719-04-28,856.5,BC 3723-01-29,BC 3720-11-16,693.5,BC 3723-07-24,BC 3720-05-24,517.5
#15,BC 3707-09-10,일식,BC 3710-05-18,BC 3703-01-03,1211.0,BC 3709-05-07,BC 3704-01-14,856.5,BC 3709-10-17,BC 3705-08-04,693.5,BC 3708-04-11,BC 3705-02-10,517.5
#16,BC 3671-10-02,일식,BC 3674-06-09,BC 3667-01-25,1211.0,BC 3673-05-28,BC 3668-02-04,856.5,BC 3673-11-07,BC 3669-08-25,693.5,BC 3672-05-03,BC 3669-03-02,517.0
#17,BC 3653-10-12,일식,BC 3656-06-19,BC 3649-02-05,1211.0,BC 3655-06-09,BC 3650-02-16,856.5,BC 3655-11-19,BC 3651-09-06,693.5,BC 3654-05-14,BC 3651-03-14,517.5
#18,BC 3635-10-23,일식,BC 3638-06-30,BC 3631-02-16,1211.5,BC 3637-06-19,BC 3632-02-26,856.5,BC 3637-11-29,BC 3633-09-16,693.5,BC 3636-05-24,BC 3633-03-24,517.5
#19,BC 3617-11-03,일식,BC 3620-07-11,BC 3613-02-27,1211.0,BC 3619-06-30,BC 3614-03-09,856.5,BC 3619-12-10,BC 3615-09-27,693.5,BC 3618-06-05,BC 3615-04-04,517.0
#20,BC 3599-11-14,일식,BC 3602-07-22,BC 3595-03-09,1211.0,BC 3601-07-11,BC 3596-03-19,856.0,BC 3601-12-21,BC 3597-10-08,693.5,BC 3600-06-15,BC 3597-04-14,517.0
#21,BC 3581-11-25,일식,BC 3584-08-01,BC 3577-03-20,1211.5,BC 3583-07-22,BC 3578-03-31,856.5,BC 3582-01-01,BC 3579-10-19,693.5,BC 3582-06-26,BC 3579-04-26,517.5
#22,BC 3548-08-23,일식,BC 3551-04-30,BC 3545-12-16,1211.0,BC 3550-04-20,BC 3546-12-28,856.5,BC 3550-09-30,BC 3546-07-18,693.5,BC 3549-03-24,BC 3546-01-23,517.5
#23,BC 3512-09-14,일식,BC 3515-05-22,BC 3508-01-07,1211.0,BC 3514-05-12,BC 3509-01-18,856.0,BC 3514-10-21,BC 3510-08-09,694.0,BC 3513-04-15,BC 3510-02-13,517.0
#24,BC 3494-09-25,일식,BC 3497-06-01,BC 3490-01-18,1211.0,BC 3496-05-22,BC 3491-01-29,856.5,BC 3496-11-01,BC 3492-08-19,693.5,BC 3495-04-26,BC 3492-02-24,517.5
#25,BC 3476-10-06,일식,BC 3479-06-13,BC 3472-01-29,1211.0,BC 3478-06-02,BC 3473-02-09,856.5,BC 3478-11-12,BC 3474-08-30,693.5,BC 3477-05-07,BC 3474-03-07,517.0
#26,BC 3458-10-17,일식,BC 3461-06-23,BC 3454-02-09,1211.0,BC 3460-06-13,BC 3455-02-19,856.0,BC 3460-11-23,BC 3456-09-10,693.5,BC 3459-05-18,BC 3456-03-17,517.0
#27,BC 3371-08-17,일식,BC 3374-04-24,BC 3368-12-10,1211.0,BC 3373-04-13,BC 3369-12-20,856.0,BC 3373-09-22,BC 3369-07-10,693.5,BC 3372-03-18,BC 3369-01-16,517.0
#28,BC 3353-08-27,일식,BC 3356-05-04,BC 3350-12-21,1211.0,BC 3355-04-24,BC 3350-01-01,856.5,BC 3355-10-04,BC 3351-07-22,693.5,BC 3354-03-29,BC 3351-01-27,517.5
